Países,Filmes Famosos,Frutas,Nomes Comuns,Séries Famosas
Brasil,O Poderoso Chefão,Banana,João,Game of Thrones
Estados Unidos,Forrest Gump,Maçã,Maria,Breaking Bad
China,O Senhor dos Anéis,Abacaxi,Pedro,Friends
Índia,Star Wars,Laranja,Ana,Stranger Things
Japão,Titanic,Uva,Lucas,The Big Bang Theory
Alemanha,Matrix,Manga,Júlia,The Walking Dead
França,Vingadores: Ultimato,Morango,Gabriel,Grey's Anatomy
Reino Unido,Jurassic Park,Melancia,Beatriz,The Office
Itália,Pulp Fiction,Limão,Miguel,House of Cards
Canadá,Clube da Luta,Pera,Alice,Vikings
Rússia,O Cavaleiro das Trevas,Ameixa,Arthur,Sherlock
Austrália,De Volta para o Futuro,Kiwi,Laura,True Detective
México,Gladiador,Caju,Davi,The Mandalorian
Indonésia,Toy Story,Goiaba,Helena,Black Mirror
Espanha,E.T. - O Extraterrestre,Acerola,Matheus,Westworld
Turquia,O Resgate do Soldado Ryan,Pêssego,Sofia,The Crown
Arábia Saudita,O Exorcista,Melão,Rafael,Narcos
Coreia do Sul,Indiana Jones,Figo,Valentina,Peaky Blinders
África do Sul,Psicose,Maracujá,Guilherme,Sons of Anarchy
Argentina,Alien,Mamão,Isabella,Dexter
Colômbia,O Iluminado,Jabuticaba,Enzo,Lost
Egito,Coração Valente,Romã,Luiza,House
Chile,O Silêncio dos Inocentes,Amora,Leonardo,How I Met Your Mother
Peru,Casablanca,Pitanga,Lívia,Suits
Malásia,Os Caça-Fantasmas,Graviola,Gustavo,24 Horas
Nigéria,Tubarão,Carambola,Giovanna,Prison Break
Ucrânia,O Grande Lebowski,Nectarina,Bernardo,Mad Men
Polônia,O Senhor dos Anéis: As Duas Torres,Cereja,Emanuelly,Homeland
Holanda,A Origem,Lichia,Henrique,Arrow
Bélgica,Batman: O Cavaleiro das Trevas Ressurge,Framboesa,Clara,Supernatural
Tailândia,O Rei Leão,Abacate,Samuel,Buffy the Vampire Slayer
Suíça,O Estranho Sem Nome,Jaca,Antonella,Smallville
Suécia,O Rei Leão,Tamarindo,Felipe,Two and a Half Men
Noruega,Se7en,Caqui,Yasmin,ER
Dinamarca,Blade Runner,Tangerina,Vinícius,CSI: Crime Scene Investigation
Finlândia,Os Intocáveis,Coco,Larissa,NCIS
Áustria,Mad Max: Estrada da Fúria,Mirtilo,Daniel,The Sopranos
Grécia,Harry Potter e a Pedra Filosofal,Fruta do Conde,Mariana,Seinfeld
Israel,Esqueceram de Mim,Cambuci,Eduardo,The X-Files
Hungria,A Vida é Bela,Mangostão,Gabriela,The Handmaid's Tale
Portugal,Jurassic World,Araçá,Lorenzo,Better Call Saul
Irlanda,Procurando Nemo,Seriguela,Sara,Fargo
Nova Zelândia,Os Vingadores,Uvaia,Murilo,Parks and Recreation
Vietnã,O Hobbit,Buriti,Melissa,Lucifer
Filipinas,Titanic,Pitaya,Theo,Money Heist (La Casa de Papel)
Paquistão,A Bela e a Fera,Cambucá,Heloísa,Rick and Morty
Irã,Deadpool,Cupuaçu,Heitor,Brooklyn Nine-Nine
Bangladesh,Star Trek,Açaí,Rafaela,The Witcher
Marrocos,Velozes e Furiosos,Physalis,Isaac,Ozark
